id,occ,brand,choice,display,feature,price
1,1,1,0,0,0,0.98
1,1,2,0,0,0,0.88
1,1,3,1,0,0,1.2
1,1,4,0,0,0,0.71
1,2,1,0,0,0,0.99
1,2,2,0,0,0,1.09
1,2,3,1,0,0,0.99
1,2,4,0,0,0,0.71
1,3,1,1,1,0,0.49
1,3,2,0,0,0,1.09
1,3,3,0,0,0,1.09
1,3,4,0,0,0,0.78
1,4,1,0,0,0,1.03
1,4,2,0,0,0,1.09
1,4,3,1,0,0,0.89
1,4,4,0,0,0,0.78
1,5,1,0,0,0,1.09
1,5,2,0,0,0,1.09
1,5,3,1,0,0,1.19
1,5,4,0,0,0,0.64
1,6,1,0,0,0,0.89
1,6,2,0,0,0,1.09
1,6,3,1,0,0,1.19
1,6,4,0,0,0,0.84
1,7,1,1,0,0,1.09
1,7,2,0,0,0,1.09
1,7,3,0,1,0,1.29
1,7,4,0,0,0,0.78
1,8,1,0,0,0,1.09
1,8,2,0,0,0,1.19
1,8,3,1,1,0,1.29
1,8,4,0,0,0,0.78
1,9,1,0,0,0,1.09
1,9,2,0,0,0,1.21
1,9,3,1,1,0,1.09
1,9,4,0,0,0,0.78
1,10,1,0,1,0,0.79
1,10,2,0,0,0,1.21
1,10,3,1,1,0,1.09
1,10,4,0,0,0,0.78
1,11,1,0,0,0,1.09
1,11,2,0,0,0,1.13
1,11,3,1,1,0,1.09
1,11,4,0,0,0,0.96
1,12,1,0,0,0,1.09
1,12,2,0,0,0,1.21
1,12,3,1,0,0,0.99
1,12,4,0,0,0,0.86
1,13,1,0,1,0,0.89
1,13,2,0,0,0,1.21
1,13,3,1,0,0,0.99
1,13,4,0,0,0,0.86
1,14,1,0,0,0,1.09
1,14,2,0,1,0,1.09
1,14,3,1,1,0,1.29
1,14,4,0,0,0,0.96
1,15,1,0,0,0,1.09
1,15,2,0,0,0,1.09
1,15,3,1,0,0,1.29
1,15,4,0,0,0,0.79
1,16,1,0,0,0,1.29
1,16,2,0,0,0,1.04
1,16,3,1,1,0,1.29
1,16,4,0,0,0,0.96
2,1,1,0,0,0,0.79
2,1,2,0,0,0,0.99
2,1,3,1,0,0,0.69
2,1,4,0,0,0,0.69
2,2,1,1,1,1,0.69
2,2,2,0,0,0,1.05
2,2,3,0,1,0,0.89
2,2,4,0,0,0,0.65
2,3,1,1,1,1,0.79
2,3,2,0,0,0,1.25
2,3,3,0,0,0,1.06
2,3,4,0,0,0,0.69
2,4,1,1,1,0,0.79
2,4,2,0,0,0,1.25
2,4,3,0,0,0,1.06
2,4,4,0,0,0,0.69
2,5,1,1,0,0,0.79
2,5,2,0,0,0,1.25
2,5,3,0,1,0,0.99
2,5,4,0,0,0,0.69
2,6,1,1,0,0,0.97
2,6,2,0,0,0,1.15
2,6,3,0,0,1,1.09
2,6,4,0,1,1,0.57
2,7,1,1,1,0,0.79
2,7,2,0,0,0,1.35
2,7,3,0,1,0,1.09
2,7,4,0,0,0,0.65
2,8,1,0,0,0,0.97
2,8,2,1,1,0,0.99
2,8,3,0,0,0,1.25
2,8,4,0,0,0,0.6
2,9,1,1,0,0,1.09
2,9,2,0,0,0,1.35
2,9,3,0,0,0,1.29
2,9,4,0,0,0,0.73
2,10,1,1,0,0,1.09
2,10,2,0,0,0,1.35
2,10,3,0,0,0,1.15
2,10,4,0,0,0,0.76
2,11,1,0,0,0,1.05
2,11,2,0,1,0,1.25
2,11,3,1,1,0,0.99
2,11,4,0,0,0,0.59
2,12,1,0,0,0,1.05
2,12,2,1,1,1,0.99
2,12,3,0,0,0,1.29
2,12,4,0,0,0,0.59
2,13,1,1,0,0,0.89
2,13,2,0,0,0,1.35
2,13,3,0,0,0,1.04
2,13,4,0,0,0,0.89
2,14,1,0,0,0,1.05
2,14,2,0,0,0,1.29
2,14,3,1,1,0,0.99
2,14,4,0,0,0,0.59
2,15,1,0,0,0,1.05
2,15,2,0,0,0,1.29
2,15,3,1,1,0,0.99
2,15,4,0,0,0,0.65
2,16,1,1,0,0,1.05
2,16,2,0,0,0,1.29
2,16,3,0,0,0,1.29
2,16,4,0,0,0,0.65
3,1,1,0,0,0,0.68
3,1,2,0,0,0,0.88
3,1,3,1,0,0,0.88
3,1,4,0,0,0,0.59
3,2,1,0,0,0,0.99
3,2,2,0,0,0,1.09
3,2,3,0,0,0,0.99
3,2,4,1,0,0,0.79
3,3,1,0,0,0,1.03
3,3,2,0,0,0,1.09
3,3,3,0,0,0,0.89
3,3,4,1,0,0,0.55
3,4,1,0,1,0,0.89
3,4,2,0,0,0,1.04
3,4,3,0,0,0,0.99
3,4,4,1,1,1,0.5
3,5,1,0,0,0,0.98
3,5,2,0,0,0,1.09
3,5,3,0,0,0,0.89
3,5,4,1,0,0,0.69
3,6,1,0,0,0,1.09
3,6,2,0,0,0,1.09
3,6,3,0,0,0,1.19
3,6,4,1,0,0,0.89
3,7,1,0,0,0,0.97
3,7,2,0,0,0,1.15
3,7,3,1,0,0,0.99
3,7,4,0,0,0,0.61
3,8,1,0,0,0,0.97
3,8,2,0,0,0,1.25
3,8,3,1,1,0,1.09
3,8,4,0,0,0,0.61
3,9,1,0,0,0,0.97
3,9,2,0,0,1,0.99
3,9,3,1,0,0,1.25
3,9,4,0,0,0,0.61
3,10,1,0,0,0,0.79
3,10,2,0,0,0,1.21
3,10,3,0,0,0,1.09
3,10,4,1,0,0,0.89
3,11,1,0,0,0,1.03
3,11,2,0,1,0,1.09
3,11,3,1,1,0,1.09
3,11,4,0,0,0,0.61
3,12,1,0,0,0,1.09
3,12,2,0,0,0,1.29
3,12,3,1,0,0,1.25
3,12,4,0,0,0,0.61
3,13,1,0,0,0,1.05
3,13,2,0,0,0,1.29
3,13,3,1,0,0,1.25
3,13,4,0,0,0,0.61
3,14,1,0,0,0,0.93
3,14,2,0,0,0,1.19
3,14,3,0,0,0,0.98
3,14,4,1,1,1,0.68
4,1,1,0,0,0,0.98
4,1,2,0,0,0,0.99
4,1,3,0,0,0,1.09
4,1,4,1,0,0,0.55
4,2,1,0,0,0,0.99
4,2,2,0,0,0,1.09
4,2,3,0,0,0,0.95
4,2,4,1,0,0,0.55
4,3,1,0,0,0,0.99
4,3,2,0,0,0,1.09
4,3,3,0,0,0,0.99
4,3,4,1,0,0,0.55
4,4,1,0,0,0,0.89
4,4,2,0,0,0,0.99
4,4,3,0,1,0,1.13
4,4,4,1,0,0,0.69
4,5,1,0,0,0,1.03
4,5,2,0,0,0,1.09
4,5,3,0,0,0,0.89
4,5,4,1,0,0,0.55
4,6,1,0,0,0,0.79
4,6,2,0,0,0,1.05
4,6,3,0,0,0,1.09
4,6,4,1,0,0,0.55
4,7,1,0,0,0,1.03
4,7,2,0,0,0,1.09
