minority,female,ses,mathach,size,sector,pracad,disclim,himinty,schoolid,mean,sd,sdalt,junk,sdalt2,num,se,sealt,sealt2,t2,t2alt,pickone,mmses,mnses,xb,resid
0,1,-1.528,5.876,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,45.71077,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,1,-0.43438298,-0.43438298,10.1375885,-4.2615886
0,1,-0.588,19.708,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,49.999413,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,0,-0.43438298,-0.43438298,10.1375885,9.570412
0,0,-0.528,20.349,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,59.47536,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,0,-0.43438298,-0.43438298,10.1375885,10.211412
0,0,-0.668,8.781,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,14.868533,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,0,-0.43438298,-0.43438298,10.1375885,-1.3565884
0,0,-0.158,17.898,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,27.678404,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,0,-0.43438298,-0.43438298,10.1375885,7.760412
0,0,0.022,4.583,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,64.866486,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,0,-0.43438298,-0.43438298,10.1375885,-5.5545883
0,1,-0.618,-2.832,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,239.28915,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,0,-0.43438298,-0.43438298,10.1375885,-12.969588
0,0,-0.998,0.523,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,146.74835,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,0,-0.43438298,-0.43438298,10.1375885,-9.614589
0,1,-0.888,1.527,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,123.43152,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,0,-0.43438298,-0.43438298,10.1375885,-8.610588
0,0,-0.458,21.521,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,78.92593,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,0,-0.43438298,-0.43438298,10.1375885,11.383411
0,1,-1.448,9.475,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,9.998076,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,0,-0.43438298,-0.43438298,10.1375885,-0.6625881
0,1,-0.658,16.057,842,0,0.35,1.597,0,1224,9.715446,7.592785,6.2563276,11.696573,48.393635,47,1.1075215,0.9125792,1.0147176,6.9584985,8.289523,0,-0.43438298,-0.43438298,10.1375885,5.9194107
