schid,chapt1,frlnch,natvam,asian,black,hspanc,white,othrac,avgdat,stdntid,gender,race,birthmon,birthday,birthyea,classt,tchid,freelu,reading,tmaths,motivr,school,numteach,wttr1,wttr2,wttr3,wttr4,wttr5,wttr6,wttr7,wttr8,wttr9,wttr10,wttr11,wttr12,wttr13,wttr14,wttr15,wttr16,wttr17,wttr18,wttr19,wttr20,wttr21,wttr22,wttr23,wttr24,wttr25,wttr26,wttr27,wttr28,wttr29,wttr30,gr0tchid,gr1tchid,gr2tchid,num0teach,num1teach,num2teach,n0tchid,gr0wttr1,gr0wttr2,gr0wttr3,gr0wttr4,gr0wttr5,gr0wttr6,gr0wttr7,gr0wttr8,n1tchid,gr1wttr1,gr1wttr2,gr1wttr3,gr1wttr4,gr1wttr5,gr1wttr6,gr1wttr7,gr1wttr8,gr1wttr9,gr1wttr10,gr1wttr11,gr1wttr12,n2tchid,gr2wttr1,gr2wttr2,gr2wttr3,gr2wttr4,gr2wttr5,gr2wttr6,gr2wttr7,gr2wttr8,gr2wttr9,gr2wttr10,gr2wttr11
112038,1,75,0,1,32,0,67,0,320,11539,1,2,4,27,1979,2,11203807,1,491,479,54,112038,9,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203801,11203805,11203807,3,3,3,1,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112038,1,75,0,1,32,0,67,0,320,21229,2,3,11,17,1980,1,11203809,2,593,565,47,112038,9,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203801,11203805,11203809,3,3,3,1,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112038,1,75,0,1,32,0,67,0,320,19078,2,2,5,1,1980,1,11203809,2,608,568,52,112038,9,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203801,11203805,11203809,3,3,3,1,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112038,1,75,0,1,32,0,67,0,320,16065,2,2,7,2,1980,1,11203809,1,535,512,49,112038,9,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203801,11203805,11203809,3,3,3,1,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112038,1,75,0,1,32,0,67,0,320,18884,2,2,11,12,1979,1,11203809,1,627,593,53,112038,9,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203801,11203805,11203809,3,3,3,1,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112038,1,75,0,1,32,0,67,0,320,16085,1,1,7,4,1980,3,11203808,1,599,603,,112038,9,0.0,0.33333334,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203802,11203804,11203808,3,3,3,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,1,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112038,1,75,0,1,32,0,67,0,320,16823,1,1,9,4,1980,3,11203808,1,596,570,51,112038,9,0.0,0.33333334,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203802,11203804,11203808,3,3,3,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,1,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112038,1,75,0,1,32,0,67,0,320,15726,1,2,5,14,1980,3,11203808,1,566,490,50,112038,9,0.0,0.33333334,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203802,11203804,11203808,3,3,3,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,1,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112038,1,75,0,1,32,0,67,0,320,13816,1,1,2,22,1980,3,11203808,1,579,603,51,112038,9,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203802,11203805,11203808,3,3,3,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112038,1,75,0,1,32,0,67,0,320,21106,1,2,6,29,1979,1,11203809,1,608,538,46,112038,9,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203802,11203805,11203809,3,3,3,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112038,1,75,0,1,32,0,67,0,320,16824,1,2,9,15,1980,1,11203809,1,588,554,49,112038,9,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203802,11203805,11203809,3,3,3,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
