G,H,S,T,U,Y
1,1,75.3224233562222,199.47723770898074,127.58084002102424,-31.74180260895767
1,2,120.0140090301232,201.756476307505,156.32977267425375,-14.957122309808604
1,3,103.17701274525022,214.45274119831635,190.15538105495702,7.520740810667902
1,4,106.5231610693181,231.5817920706681,157.9082156888273,-33.50973346160414
1,5,89.60413626558699,226.18794571869157,102.52136089048176,33.53917435909158
1,6,141.48297411670848,183.16562258576613,172.20136017936252,-41.28169197025522
1,7,46.73508162828135,184.42587595583336,90.99868284177143,-75.5378490091513
1,8,71.96388733388574,163.74084082035327,140.71670723943112,-40.444256398614314
1,9,79.9752718514361,178.23119901827312,140.9457767904957,11.67939800236767
1,10,114.41899162506462,177.17434789598903,69.71969082484644,20.165531826758205
1,11,114.51704982582046,213.52739458865517,184.798286564864,-68.04163092505414
1,12,153.95087793387603,238.0116619120868,115.31705843449691,5.262403758345934
1,13,68.01385668445118,198.67683045338435,140.9399914678675,-5.842242662934443
1,14,121.3236573048766,197.39582473342176,203.93900972292622,-7.47458164272196
1,15,104.01799569798226,175.1706582886094,176.5147243866127,3.5230952458747407
1,16,51.8912877388097,173.9465931697344,153.53348873497347,-44.27071016516387
1,17,80.62984090037206,236.63911747577924,171.9257839778371,6.406038530027311
1,18,63.3968289375379,181.8300395252383,172.226947374854,-14.509826435339193
1,19,101.85812825132567,169.7490253363554,218.85052852815747,-0.9510629259342114
1,20,96.97303671042218,231.70946499964472,160.18179486224028,23.569360104523454
1,21,106.2526880125067,192.18158324124673,170.1011552732664,8.401555731969143
1,22,133.30272748339533,271.0893418888271,156.18048153150355,-48.45449299182282
1,23,99.53830954549917,190.79064621895745,135.1337667667772,12.513357371792399
1,24,104.96607628224632,228.34234478522,151.96076930981033,17.326792937839222
1,25,120.59962599140175,229.45970681347296,212.46689087189068,3.247056824285134
1,26,130.66158445861555,201.21225244002835,110.00039557605587,58.55399184706015
1,27,96.52836044084688,212.01290391475524,154.88475837027428,15.411385413431791
1,28,100.60042274407485,203.35359995754024,205.21928643114774,-33.342323653547496
